tweet_id,rating_numerator,rating_denominator,favorite_count,retweet_count,p_dog_breed,dog_type
892177421306343426,13,10,32867,6207,Chihuahua,
891815181378084864,12,10,24758,4107,Chihuahua,
891689557279858688,13,10,41696,8546,Labrador Retriever,
891327558926688256,12,10,39869,9276,Basset,
891087950875897856,13,10,20020,3077,Chesapeake Bay Retriever,
890971913173991426,13,10,11710,2043,Appenzeller,
890729181411237888,13,10,64761,18671,Pomeranian,
890609185150312448,13,10,27521,4219,Irish Terrier,
890240255349198849,14,10,31572,7310,Pembroke,Doggo
890006608113172480,13,10,30336,7253,Samoyed,
889880896479866881,13,10,27495,4922,French Bulldog,
889665388333682689,13,10,47610,9952,Pembroke,Puppo
889638837579907072,12,10,26868,4493,French Bulldog,
889531135344209921,13,10,14935,2213,Golden Retriever,Puppo
889278841981685760,13,10,25022,5359,Whippet,
888917238123831296,12,10,28790,4451,Golden Retriever,
888804989199671297,13,10,25318,4277,Golden Retriever,
888554962724278272,13,10,19667,3536,Siberian Husky,
888078434458587136,12,10,21521,3458,French Bulldog,
887705289381826560,13,10,29834,5330,Basset,
887473957103951883,13,10,68353,18006,Pembroke,
887343217045368832,13,10,33318,10296,Mexican Hairless,
887101392804085760,12,10,30237,5901,Samoyed,
886983233522544640,13,10,34788,7697,Chihuahua,
886736880519319552,13,10,11922,3254,Kuvasz,
886366144734445568,12,10,20965,3167,French Bulldog,Pupper
886258384151887873,13,10,27689,6213,Pug,
885984800019947520,12,10,32341,6740,Blenheim Spaniel,
885528943205470208,13,10,35604,6362,Pug,
885311592912609280,13,10,0,18410,Labrador Retriever,
885167619883638784,13,10,21697,4337,Malamute,
884925521741709313,12,10,76667,18257,Italian Greyhound,
884876753390489601,13,10,27626,5730,Chow,
884562892145688576,13,10,24055,4822,Pug,
884441805382717440,14,10,26714,5595,Pembroke,
884162670584377345,12,10,20158,2953,German Shepherd,Doggo
883838122936631299,12,10,21664,3410,Doberman,
883360690899218434,13,10,22333,3644,Chow,Floofer
883117836046086144,13,10,36798,6610,Golden Retriever,
882992080364220416,13,10,23711,3882,Eskimo Dog,
882762694511734784,12,10,28020,4873,Labrador Retriever,Pupper
882627270321602560,13,10,27621,6029,Pembroke,
882268110199369728,13,10,44498,11487,Golden Retriever,
882045870035918850,13,10,29042,4927,Golden Retriever,
881906580714921986,12,10,24062,3368,Weimaraner,
881666595344535552,13,10,50022,10568,Saluki,
881536004380872706,14,10,48920,15813,Samoyed,Pupper
880872448815771648,12,10,21060,3782,Pembroke,
880465832366813184,12,10,28242,6225,Golden Retriever,
880221127280381952,12,10,26773,4172,Chihuahua,
880095782870896641,11,10,27359,4322,Miniature Pinscher,
879862464715927552,13,10,22107,3469,Basset,
879492040517615616,12,10,23190,3158,German Short Haired Pointer,
879415818425184262,13,10,104797,43835,English Springer,
879376492567855104,12,10,16607,3097,Labrador Retriever,
879008229531029506,13,10,18787,2672,Vizsla,
878776093423087618,13,10,19218,4101,Italian Greyhound,Puppo
878281511006478336,13,10,7676,1279,Basset,
878057613040115712,14,10,41634,6775,French Bulldog,
877736472329191424,13,10,79066,18971,Chesapeake Bay Retriever,
877611172832227328,14,10,0,80,Irish Setter,Pupper
877556246731214848,12,10,22512,3782,Basset,
877316821321428993,13,10,27101,5141,Saluki,
877201837425926144,12,10,26846,5548,Pembroke,
876838120628539392,12,10,20467,3327,Bloodhound,Pupper
876484053909872640,13,10,18580,2382,Golden Retriever,
